GENE,logFC,PValue,FDR
Cd80,2.84824919694084,3.68487798558394e-8,1.13808294057029e-5
Asnsd1,-0.92074029404867,3.7836283053285e-8,1.15545206416318e-5
Slc39a14,2.20701711052743,3.91131052871351e-8,1.18117232066561e-5
Uba2,-1.06326384375664,4.06293582653072e-8,1.21347838273932e-5
Bloc1s5,-1.25933378240139,4.21617860948859e-8,1.23965844717567e-5
Cops5,-0.853542258583526,4.27576073748423e-8,1.23965844717567e-5
Ubash3a,-1.64996560138893,4.28742389471697e-8,1.23965844717567e-5
Rab4a,-2.15845560153469,4.34004128781597e-8,1.24166297012158e-5
Pnpt1,-1.1204405808553,4.50813305429988e-8,1.26544458253039e-5
A930007A09Rik,3.06817692780392,4.51628553314868e-8,1.26544458253039e-5
Zfp958,1.36689256728224,4.8691989432783e-8,1.35040773550368e-5
Wdr60,-1.85568136700986,5.11597670295947e-8,1.37750616590962e-5
Msh2,-1.45217902898454,5.14402129647878e-8,1.37750616590962e-5
Nqo2,-1.10760356920409,5.14663173629382e-8,1.37750616590962e-5
Gga2,-1.26221341970769,5.16963938786495e-8,1.37750616590962e-5
Stx17,-1.06609552456031,5.30865784848386e-8,1.40081564722275e-5
Dap3,-1.09329018498802,5.49572897029193e-8,1.42839449254799e-5
Stk26,-1.74274265792736,5.51828329657233e-8,1.42839449254799e-5
Trp53cor1,5.61784013332809,5.90468080818711e-8,1.51019267557126e-5
Fam69a,-1.27753330640476,5.94542169638784e-8,1.51019267557126e-5
Igsf3,-1.96993807818148,6.08599771856294e-8,1.53158640734095e-5
Hmgb3,-1.75685853693775,6.16735997039119e-8,1.53782272142442e-5
Oxct1,-1.08556388454079,6.34442867469805e-8,1.56759297226926e-5
Susd1,-1.26812145979082,6.52351038181371e-8,1.59731971772356e-5
Bex3,-1.57480401350721,6.82926693290187e-8,1.65601121364741e-5
Lhfpl2,-2.03178461005617,6.92195535015547e-8,1.65601121364741e-5
Ipmk,-1.02092577213617,6.94599795267688e-8,1.65601121364741e-5
Plk2,2.74439579076362,7.11684685682788e-8,1.68198939758022e-5
Tnfaip3,2.06612545975808,7.74329995644248e-8,1.80470777251398e-5
C130083M11Rik,2.17963482456611,7.76889544810829e-8,1.80470777251398e-5
Dctn6,-0.902303699654893,8.18083282498603e-8,1.87738780440675e-5
Bloc1s2,1.2524698637022,8.21991790442633e-8,1.87738780440675e-5
Ddit4l,3.81005269471504,8.37725313720288e-8,1.89737802513364e-5
Mettl8,-1.63191376927874,8.7089433692521e-8,1.93719826720848e-5
Alg6,-1.41585996405623,8.85840967640614e-8,1.93719826720848e-5
