GENE,logFC,PValue,FDR
Fam98a,-0.885050430980773,9.94509764778103e-5,0.00215720517932195
Gng4,2.74562010529578,9.9554668925195e-5,0.0021577323339058
Mrpl27,-0.700191304492456,1.0123272929458e-4,0.00219235406334454
Padi6,5.68221874689235,1.01421513151702e-4,0.00219469371492842
Armt1,-0.695595696178312,1.0169436661518e-4,0.00219884740670961
Coa5,-0.738060540472469,1.02018178761239e-4,0.00220392328133103
Zfp944,-0.946566571793536,1.02091298840861e-4,0.00220392328133103
Gabpa,-0.657170809034436,1.02423766490686e-4,0.00220934567416694
3830406C13Rik,-0.897557006343179,1.02647250757763e-4,0.00221241049036101
Ehhadh,-1.22554997739563,1.02960570495968e-4,0.00221740518661642
Yme1l1,-0.585878092527971,1.03394025821754e-4,0.00222497721916822
Zfp982,-1.7649575099627,1.03538753362449e-4,0.00222580909683205
Rbl1,-1.14943450913912,1.03596471816202e-4,0.00222580909683205
Taf2,-0.648595623841594,1.03942734263102e-4,0.00223148465603226
Slc7a6,1.19849408038611,1.0443681402922e-4,0.00224032215351237
Hnrnpk,-0.579725984614296,1.04593295876517e-4,0.00224161819314595
Tasp1,-0.636522998650472,1.04662183564598e-4,0.00224161819314595
Trim32,0.975286450372873,1.0477707630343e-4,0.00224231193452828
Lacc1,1.327145036935,1.05446885641311e-4,0.00225487089287584
Plrg1,-0.590004502616576,1.05628529998885e-4,0.00225596251893696
Rtca,-0.681541996640632,1.05663942257138e-4,0.00225596251893696
Ogdhl,2.17636538498923,1.05986847908374e-4,0.00226108048610807
Trap1,-0.71759347125042106,1.06171092292879e-4,0.00226158443282987
Mrpl37,-0.73121506734267006,1.06176891581402e-4,0.00226158443282987
Abca3,-1.29834597898155,1.06263894182806e-4,0.00226166513703561
Tex30,-0.950491050692807,1.06444735116133e-4,0.00226374135815445
Nes,1.44165085571577,1.06809529533076e-4,0.00226972338012468
Sacm1l,-0.631196888887377,1.07041313845486e-4,0.00227194903026544
Ssna1,-0.958263954564035,1.07081449198647e-4,0.00227194903026544
Ociad1,-0.585097815048564,1.07251407232053e-4,0.00227378002898593
Ssbp2,-0.880815802039179,1.07782529534433e-4,0.00228308836543247
Acd,-0.828055140040368,1.07858473866415e-4,0.00228308836543247
Mpp7,-1.07846843597033,1.08407893675512e-4,0.00228899244572906
2310035C23Rik,-0.679170528927485,1.08465627901796e-4,0.00228899244572906
Arpc1a,-0.543301098857586,1.08465650895356e-4,0.00228899244572906
Gm7591,-0.647222215949375,1.08474273155709e-4,0.00228899244572906
Ing5,-0.800612079689798,1.08879422372053e-4,0.00229513181244061
Nras,-0.680604945588988,1.08934104935737e-4,0.00229513181244061
Nhlrc2,-0.840176857849737,1.09250150200845e-4,0.00230000761604088
Trim2,-1.3941029794827,1.09540104293196e-4,0.00230432700819254
Rec8,-1.9582963130619,1.09892015752838e-4,0.00230994206971878
Eml3,-0.706859407431743,1.10309639751894e-4,0.00231692866987382
Tcp1,-0.796703208539942,1.10495225744887e-4,0.00231903454866431
Nudt12,-1.64724146734845,1.10713301743829e-4,0.00232181854019716
Lgals3,1.18633745020441,1.11033838781177e-4,0.00232674533865353
Cmpk1,-0.618016950895577,1.1130066666504e-4,0.00233053992241073
Zfp395,-1.22665398845564,1.12348108245747e-4,0.00235066145805325
1700006J14Rik,-3.02112479166939,1.12555654438782e-4,0.00235319240922434
Mbnl1,-0.676998344432641,1.12940071420299e-4,0.00235941445129308
Kdm6b,1.11436530872894,1.13411326748249e-4,0.00236743966950127
Gas2,-1.33009588491333,1.14031909330226e-4,0.00237856735509302
Ppil1,-1.16280632387034,1.14198258181457e-4,0.00238021047478054
Siah1b,-0.986462907674819,1.15091099634443e-4,0.00239698160686936
Il1a,1.54195230973201,1.15367353168555e-4,0.00240041789132044
Fcf1,-0.614737290382465,1.15432730562413e-4,0.00240041789132044
Mre11a,-0.793047335716878,1.15685244737649e-4,0.00240382971462122
Polr3h,-0.837980773125118,1.15964446478498e-4,0.00240779044372734
Pigg,-0.83821955593924,1.16150848113734e-4,0.00240981977166655
Prkcd,1.17438636222221,1.16834667218299e-4,0.00242215821535175
Txn1,-0.595285457670443,1.17240230038833e-4,0.00242871357639135
Rps2,-0.850008075227111,1.17474508510156e-4,0.00243039062267527
Zfp874a,0.890167614650893,1.17594391681667e-4,0.00243039062267527
Prepl,-0.709426925524252,1.17607482641532e-4,0.00243039062267527
Bag1,-0.574937701528186,1.17678871902596e-4,0.00243039062267527
Lynx1,1.53595365422616,1.178123578611e-4,0.00243129998049115
Ccdc57,-1.27426603857084,1.18143882419714e-4,0.00243581088160669
Necab1,3.72241479639542,1.18210182598301e-4,0.00243581088160669
Ddias,1.40490934574449,1.18708263514978e-4,0.00244422113187393
Ufd1,-0.505887588485544,1.19286266038276e-4,0.00245426300125232
Tipin,-1.12528849089761,1.19629826583742e-4,0.00245946978571825
Smarcad1,-0.814226218305964,1.19748761460873e-4,0.00246005411016256
Lactb2,-0.819450113395261,1.21000883467842e-4,0.00248389955571939
Mpv17l2,-0.893649818825035,1.21235423011621e-4,0.00248621695446591
NA,-1.02783343182411,1.21296724736811e-4,0.00248621695446591
Ptgr1,-1.01625179261409,1.21666901137981e-4,0.00249192517409886
Hibch,-0.99984741948269,1.21844843020706e-4,0.00249369050335827
Plp2,-0.864444072015191,1.22876000590803e-4,0.00251290204669484
Wdr53,-0.668562569713611,1.23596406692257e-4,0.00252573438908936
Tmem250-ps,-0.606710373196642,1.23787887614975e-4,0.00252774680502434
Homer3,1.16919720404859,1.24331239478187e-4,0.00253693600433757
Eif4e,-0.683729897764649,1.2455837551841e-4,0.00253966398215669
Amer1,-1.03297230677029,1.25895942099529e-4,0.00256501185181642
Kcnk10,2.23261788486189,1.26343162716816e-4,0.00257219537039726
Uba3,-0.574740826218346,1.27275796877735e-4,0.00258924317615267
AI314180,-0.647379913110991,1.27585620210688e-4,0.00259360476567411
Lgr5,-2.90968790388392,1.27764598738386e-4,0.00259530196495559
Btaf1,-0.932587235405049,1.28091043294993e-4,0.00259998989224393
Brip1,-1.22847739020759,1.28468513092852e-4,0.00260570575921689
Oard1,-0.617725544695435,1.29462649562409e-4,0.0026239115230848
Aagab,-0.686423766195105,1.29591167317582e-4,0.0026245591181256
Nup43,-1.0291106111084,1.31460971633861e-4,0.00266044508416733
Mrps5,-0.785811626394573,1.32082241553128e-4,0.00266976559539632
Napepld,-1.17531795856765,1.32117985422865e-4,0.00266976559539632
Map7,-0.986922636245455,1.32586224457185e-4,0.00267723699444416
Rabep1,-0.717777689721716,1.32970941301053e-4,0.0026830120368384
Acat3,-1.02566034044335,1.3322787445411e-4,0.00268620207699425
Hmgcl,-0.767557574151263,1.33577056500707e-4,0.0026900785957382
Cela1,-1.42395807623974,1.33618091329577e-4,0.0026900785957382
Thap6,-0.81925975100388,1.33772445735901e-4,0.00269090977624279
Ap4m1,-0.82804715705821,1.33912404346167e-4,0.00269090977624279
Afg3l2,-0.667365219744512,1.34145640872581e-4,0.00269090977624279
Slfn9,-1.4094704740261,1.34145920741148e-4,0.00269090977624279
1110004E09Rik,-0.761176738726495,1.34220456495116e-4,0.00269090977624279
Zcchc3,-1.17429270109592,1.34333562531149e-4,0.00269090977624279
Nrarp,-1.3176714287122,1.34352425268092e-4,0.00269090977624279
Tpi1,-0.863259272551828,1.35867075151601e-4,0.00271924244149143
Ndufa5,-0.836849939216638,1.36511430422378e-4,0.00273012815853554
Bbip1,-0.645849282911727,1.36926921586243e-4,0.00273642411896507
Zmym2,-0.822477690524607,1.37159449448861e-4,0.00273905707315988
Psmg2,-0.811110431656443,1.38332701286406e-4,0.00276045850826963
Plekhh1,1.35419683178703,1.38956347739815e-4,0.00277086909407221
Stard10,-2.25604445754312,1.39645438625128e-4,0.00278256845776566
Psme4,-0.635979177856423,1.39979388171068e-4,0.00278717933414027
Irak1bp1,1.07204786693265,1.40381894713013e-4,0.00279195948326059
Rgs1,2.31356444811825,1.40424909438067e-4,0.00279195948326059
Bap1,-0.591556381238628,1.40691172299e-4,0.00279520860520067
Rprd1b,-0.736162991726379,1.41363984757497e-4,0.00280622386017388
Rpl31,-0.594155593931261,1.41452102300976e-4,0.00280622386017388
Tma7-ps,-0.75755482684777,1.43603458324105e-4,0.00284682596191893
Pdzd8,-0.684603665381942,1.43824336845927e-4,0.00284912656788298
NA,-1.18530925533089,1.44088426109636e-4,0.00285227919390662
Rab3ip,-0.689615432691415,1.44403304860357e-4,0.00285492593687413
Snrpb2,-0.67015560862752,1.4443221469524e-4,0.00285492593687413
Lrrk2,-1.15540269322222,1.45582377790795e-4,0.00287556936480816
Sec61a2,-0.763095029891197,1.45901290846293e-4,0.00287977573268801
Pms1,-1.05048377041107,1.46016339549405e-4,0.00287995507446538
Lsm14a,-0.503086432530046,1.46496886599859e-4,0.00288733783966466
Scoc,-0.965167973378309,1.47237916631945e-4,0.00289984009865191
Mtfp1,-1.81935442096937,1.47605255237223e-4,0.00290496975531679
Zfp930,-0.929345654927651,1.48129069186124e-4,0.00291147300453843
Polr2b,-0.689998031645787,1.48149938013784e-4,0.00291147300453843
Ezh2,-1.01256852517802,1.48486681206028e-4,0.0029159823038285
Clasp2,-0.600445610053582,1.48675867323604e-4,0.00291758945703121
Slc29a1,-0.880692378944733,1.48902080708527e-4,0.00291992038353323
Tomm70a,-0.725629931911807,1.50640854084692e-4,0.00295188736349519
Usp47,-0.593585954046143,1.50823285819987e-4,0.0029533329144823
Atpaf2,-0.78032808453621,1.50990995300999e-4,0.00295448830906108
Slc7a4,-1.51547122676238,1.51181236139613e-4,0.00295608260218599
Tpr,-0.680949209673074,1.51606837804682e-4,0.00296227336067107
Utp20,0.977419972673335,1.52521311117142e-4,0.00297800051354368
1190007I07Rik,-0.967421137488495,1.53402796907829e-4,0.00299009178691544
Gm17748,-1.09196434980816,1.53539353309561e-4,0.00299009178691544
Svbp,-0.774013424175318,1.53578731267677e-4,0.00299009178691544
Prps1l3,-0.843579360481425,1.53580637055593e-4,0.00299009178691544
Acer3,-0.803831637976625,1.53864750480589e-4,0.00299347892148313
Ube3a,-0.827563076921229,1.54083133283118e-4,0.00299558331867085
Zfp92,4.4881010788838,1.55515615669817e-4,0.00302127156418153
Ddx20,-0.925850000809707,1.5591501358779e-4,0.00302686725307326
Sell,-1.15278039844722,1.56112095814598e-4,0.00302853008718413
Prcc,-0.563979365688002,1.56655466727645e-4,0.00303690365919448
Nup37,-0.969482324225025,1.57542778422172e-4,0.00305192813594884
Etfa,-0.900481566196923,1.57866666004126e-4,0.00305534748609986
Rheb,-0.561183614926879,1.57944119282177e-4,0.00305534748609986
Chfr,-0.542304187203804,1.58215868971707e-4,0.00305562793515152
Gpd1l,-0.882728023558099,1.5836801712751e-4,0.00305562793515152
NA,-0.79234588585285,1.58386470795315e-4,0.00305562793515152
Psmd5,-0.671666703336662,1.58408321153409e-4,0.00305562793515152
Selenof,-0.518825168334937,1.59019793090843e-4,0.00306524748681988
Osbp,-0.665298689810897,1.59371634904674e-4,0.00306985234945014
Fam161b,-1.52234645662799,1.60073546751022e-4,0.00308118904188812
Atxn3,-0.667021251893774,1.60337973467575e-4,0.00308409467860949
Proz,1.54061261473249,1.60944353061634e-4,0.0030935690041458
Plb1,1.95497845922528,1.61098956701999e-4,0.00309358152520588
Psmb4,-0.539747392922366,1.61172649460669e-4,0.00309358152520588
Rpain,-0.809813180079956,1.61491905518366e-4,0.0030973625071058
Arpp19,-0.597561958681221,1.61597558227897e-4,0.0030973625071058
Ccl7,2.75381511015417,1.62312059839469e-4,0.00310886502774977
Mier3,-1.03174769942645,1.62524450322902e-4,0.00310914024762637
Bcap31,-0.623294374113569,1.62555218804116e-4,0.00310914024762637
Gab1,-1.35005857141136,1.63387283511295e-4,0.00312285722823733
Vstm5,-2.11516790595959,1.63781537154706e-4,0.00312819283086982
Gm10145,-0.50677354508605,1.64139465239425e-4,0.00313282761639209
Klhdc8b,-1.55234659526632,1.66060915831316e-4,0.00316727693430129
Kcnab2,-0.996141805966288,1.66192130942233e-4,0.00316755675096701
Etf1,-0.730429983406763,1.66356583044359e-4,0.00316846921553092
Ak2,-0.699901345742936,1.66950483342479e-4,0.00317755405235661
Ccz1,-0.529579599073526,1.67679340042583e-4,0.0031891929902151
Cenpx,-0.879686728537982,1.68587577300698e-4,0.00320406873173522
Klf16,-0.946890148047665,1.68697242544358e-4,0.00320406873173522
Bcl2a1b,1.55958692793169,1.68855942705922e-4,0.0032045014138235
Spata7,-1.12372819155029,1.68955830825603e-4,0.0032045014138235
Lsm8,-0.707116683860642,1.69596582672107e-4,0.00321441110212356
Trip13,-1.4318162564303,1.70469434270512e-4,0.00322739558533168
Nelfa,-0.839895033614886,1.70519153042286e-4,0.00322739558533168
A430005L14Rik,-0.927840949476138,1.7111848575694e-4,0.00323648526401382
Spryd7,-0.916467525257257,1.71923178905343e-4,0.00324944372702943
Pex11b,-0.628988407558327,1.72243379296516e-4,0.00325323336059764
Atg4b,-0.780887750527837,1.72644933762887e-4,0.00325855323245938
Itch,-0.742038689470668,1.7325749526971e-4,0.00326784556831051
Esyt1,-0.911053360614763,1.74344538428354e-4,0.00328606810675745
Ppp6r2,-0.827572894578737,1.74723465302512e-4,0.00329013540197476
Rer1,-0.497823201793143,1.74852979820426e-4,0.00329013540197476
Mkln1,-0.583216527910999,1.74923494457247e-4,0.00329013540197476
Nup93,-0.81016549268736,1.75404874888064e-4,0.00329690808753989
Sdhc,-0.64835027838016,1.76575516895668e-4,0.00331661781182264
Map3k4,-0.777931861352429,1.76946060970776e-4,0.00332128245243421
Ddit4,2.41466158211876,1.77698977180726e-4,0.00333311283698754
Rpl22l1,-0.73193804617805,1.78864047293557e-4,0.00335265237337351
Pdss2,-0.987483433894875,1.79027931720129e-4,0.00335341154805058
Lamp3,-1.59885157399442,1.79976358364471e-4,0.00336885498897242
Sfr1,-0.565586410178033,1.80210642320783e-4,0.00337091882149797
Naa50,-0.801268087693462,1.80632582531124e-4,0.00337528584173816
Nutf2,-0.809279305892504,1.8069247947787e-4,0.00337528584173816
Rnps1,-0.708449988529804,1.81139563913499e-4,0.00337930276337885
Pdha1,-0.74234901893052,1.81279467927137e-4,0.00337930276337885
Cpd,-1.25039445284923,1.81364320451887e-4,0.00337930276337885
Hif3a,-2.13792684388674,1.81404861539047e-4,0.00337930276337885
Nsmaf,-0.52780184507483,1.81888306437082e-4,0.00338598786346127
Lrp11,1.22339580947523,1.83008252945077e-4,0.00340312686122123
Hnrnpa2b1,-0.739041060223559,1.83059401416735e-4,0.00340312686122123
Glt8d1,-0.585620854266668,1.84223929032449e-4,0.00342243483743877
Nek1,-0.835827275371526,1.84513919395666e-4,0.00342548074812486
Smyd2,-0.745383220383769,1.84811435484653e-4,0.00342866211947944
Limd1,-0.534876184976159,1.85089461292037e-4,0.00343065654023394
Crbn,-0.667648018542742,1.85171387634688e-4,0.00343065654023394
Prdm4,-0.761170121505138,1.8562916125425e-4,0.00343679494123247
Wnt10a,1.97171396394879,1.85928282295227e-4,0.00343998964227499
Usp48,-0.60811359252428,1.8658600852657e-4,0.00344981028962152
4930430F08Rik,-1.17104388243954,1.87078908929213e-4,0.00345657217252691
Ammecr1,-1.25982324458948,1.87354194482769e-4,0.00345930682870053
Oxnad1,-0.830186653875766,1.88161572264648e-4,0.00347185565008885
Smyd3,-0.818886001387186,1.89667578207781e-4,0.00349726940848663
Trim33,-0.779871322953999,1.89800096049535e-4,0.00349734021052902
Pde4d,-0.669787359884906,1.90374069231532e-4,0.00350320961719356
Rcan3,-0.88042805510669,1.90376415784057e-4,0.00350320961719356
Sppl3,-0.497017325584874,1.912407808221e-4,0.00351673422325025
Psph,-0.796558015659345,1.9153665495966e-4,0.00351957781414205
Gm5908,-0.59411853184869,1.91654408364187e-4,0.00351957781414205
Haus4,-1.10110116889353,1.92354593367792e-4,0.00352991897641991
Poli,-0.903905733093515,1.92477277422065e-4,0.00352991897641991
Ndufb3,-0.680454188758684,1.92765727372189e-4,0.00353282515458444
Caml,-0.67814446001676,1.93388127504041e-4,0.0035418436101296
Rbbp8,-0.960915713411619,1.93979749280145e-4,0.00355028660315493
Pygo2,-0.722410009702172,1.94789302643791e-4,0.00356045525154176
Twsg1,-0.755766205277342,1.9479734203034e-4,0.00356045525154176
Dus1l,-0.775721355868891,1.9509618428949e-4,0.00356352096290594
Snx30,-0.83808700961943,1.9670930223933e-4,0.00359057228043166
Nfx1,-0.601179801937088,1.96936604505052e-4,0.00359230870727705
Fxr1,-0.564350996488633,1.97387117575874e-4,0.00359811164895686
1700016K19Rik,-6.15263990928963,1.98073189110604e-4,0.00360819785981039
Slc35a3,-0.680560327528627,1.98691257155631e-4,0.0036170326043087
Ap5m1,-0.719317534685993,2.00097101180915e-4,0.00363794068828814
Agl,-0.805999065182372,2.00107484785708e-4,0.00363794068828814
Tfb1m,-0.91396900213768,2.00284741460635e-4,0.00363872927015949
Kbtbd4,-0.724103488840026,2.01429615985878e-4,0.00365582761679719
Steap3,-1.52905047400908,2.01494895690135e-4,0.00365582761679719
Bhlhe41,2.01500429995728,2.02291632544561e-4,0.00366611081385915
D630004N19Rik,-1.82132892635061,2.0250266365548e-4,0.00366611081385915
Deaf1,-0.713179563525536,2.02641440080847e-4,0.00366611081385915
Fam117b,-1.00406620103168,2.02669139053492e-4,0.00366611081385915
Cd2,-1.14258916827339,2.02736103360326e-4,0.00366611081385915
Actr1a,-0.501027031501535,2.02995757052219e-4,0.00366836547933662
Wdr59,-0.744015994054173,2.03889493304485e-4,0.00368206813190871
E2f4,-0.890349618029444,2.04783572568654e-4,0.00369575877745248
Gm5512,-0.845111163013807,2.05778511069186e-4,0.00371125026698701
Gabpb1,0.666583199594565,2.06068382880852e-4,0.00371401364609992
Pofut1,-0.683403211825783,2.06376298015211e-4,0.00371709834576237
Nfatc3,-0.753761796032517,2.07205860744255e-4,0.00372956827097226
Ubxn2a,-0.707026430424068,2.08191845462494e-4,0.00374483531954013
Traf1,1.26199832059139,2.09125334917894e-4,0.0037591385434745
Sri,-0.552341506862357,2.09311894630276e-4,0.00376000527703654
Slbp,-1.2114541752664,2.10124298316647e-4,0.00376912593507522
Ankfy1,-0.558284851807389,2.10154476182088e-4,0.00376912593507522
Kif21b,-1.08612440804391,2.10235656851762e-4,0.00376912593507522
Tnf,1.73656349757981,2.10644071011818e-4,0.00377290344404629
Lcorl,-0.811491862911401,2.10870692218176e-4,0.00377290344404629
Mospd3,-1.3900530094797,2.10934986713835e-4,0.00377290344404629
Pafah1b3,-1.12566197392434,2.11001627541497e-4,0.00377290344404629
Nr2c2,-0.64310712341415,2.12224832848204e-4,0.00379228056014552
Arhgap24,1.27563989426002,2.13794096402134e-4,0.00381625962616669
9530053A07Rik,2.65274304071746,2.1384758124478e-4,0.00381625962616669
Mcm7,-1.34511808378407,2.14381260798261e-4,0.00382327315435429
Cdkn2aip,-0.650133189576569,2.15387964798208e-4,0.00383870786573803
Kpna6,-0.589606099760592,2.1567104099335e-4,0.00384123409119151
Serpine2,1.41241529533642,2.15970966714593e-4,0.00384279898701048
Fem1b,-0.80674496675994,2.16041681156482e-4,0.00384279898701048
Golt1b,-0.761813322089732,2.16310404508575e-4,0.00384312125562949
Ddb2,-0.801784547061759,2.16342599842272e-4,0.00384312125562949
Spa17,-1.43248671247344,2.1708268499922e-4,0.00385374937661253
Lsm3,-0.701347056745629,2.17853559167223e-4,0.00386257276948309
Myo1d,-1.18754198723355,2.1786394111695e-4,0.00386257276948309
Tnfrsf12a,1.60959663958496,2.1848826837307e-4,0.00387111645769992
Parp2,-0.763183614357672,2.19071461404168e-4,0.0038781041085366
Ddx28,-0.663699982130953,2.19168030858833e-4,0.0038781041085366
Psmd13,-0.548406076474489,2.19678584463108e-4,0.00388084505859228
Rasgrp1,-1.09639674021122,2.19963713339987e-4,0.00388084505859228
Wdr55,-0.726902780550801,2.19979455201638e-4,0.00388084505859228
Cox19,-0.705191017490186,2.20039153974416e-4,0.00388084505859228
Gstcd,-0.831945400736577,2.20090340977294e-4,0.00388084505859228
Plk3,1.59845497866941,2.20179663723805e-4,0.00388084505859228
Max,-0.653070792482109,2.20883466399594e-4,0.00389072698203147
Atp5h,-0.578446669644035,2.21456083415241e-4,0.00389591972178257
Hypk,-0.607690620715293,2.21597853644288e-4,0.00389591972178257
Oxa1l,-0.66791317387956906,2.21608296474331e-4,0.00389591972178257
Mcm3,-1.35380897010319,2.219070744626e-4,0.00389865053446607
Snx27,-0.725488071866409,2.22515385399112e-4,0.00390681244170702
Minos1,-0.628378629233248,2.23489773956385e-4,0.00391817711022206
Hnrnpa3,-0.641459274869583,2.23493577342803e-4,0.00391817711022206
Kcnh4,2.35942912807272,2.23640476365321e-4,0.00391817711022206
Zfp91,-0.621312666459486,2.23739316202386e-4,0.00391817711022206
Trim66,2.32762123345917,2.24389894019621e-4,0.00392703987737236
Rbpj,-0.617869304335019,2.24822388663805e-4,0.00393207702798813
Extl3,-0.599127565953092,2.25525994806838e-4,0.00394184631051771
Tsc2,-0.64546110734479,2.25691509369129e-4,0.00394220407014368
C2cd3,-0.660062890778513,2.25885622574963e-4,0.00394306058828832
4930453N24Rik,-0.656241086142596,2.26362274594891e-4,0.00394884484031743
Fam120a,-0.594036515720052,2.26882173803869e-4,0.00395537562656533
Rack1,-0.629756437701086,2.27080478164391e-4,0.00395629507437819
Mdm4,0.766631173401571,2.27570468629553e-4,0.0039571511754623
St6galnac4,1.0513887595513,2.27641694245765e-4,0.0039571511754623
Usp46,-1.09496449237568,2.27663781522113e-4,0.0039571511754623
L3mbtl2,-0.805692654303329,2.27711999647634e-4,0.0039571511754623
Skiv2l2,-0.607980167887107,2.27896435895852e-4,0.00395782570684559
Cbs,3.35774350122599,2.29554587377335e-4,0.00398407671157636
Cep97,-0.800651057041953,2.30389665878033e-4,0.00399564076568305
Sec23ip,-0.765587230394137,2.30637887702319e-4,0.00399564076568305
Emid1,-1.30418940563822,2.30713766762948e-4,0.00399564076568305
Tgm1,1.74877296328728,2.30808933445763e-4,0.00399564076568305
Eri1,-0.880082388554296,2.31187783303525e-4,0.00399965166289403
Psat1,-0.899297468186057,2.31414935695526e-4,0.00400103469291902
9130401M01Rik,0.841833687105157,2.31740204108374e-4,0.00400411125712746
Rapgef4,-1.15137584360875,2.32907412243143e-4,0.00402172208218321
BC055324,-1.37252528638555,2.34328565370458e-4,0.00404369274806583
Ccar1,-0.675875504453369,2.3548719340722e-4,0.00406110814061855
Gtf2h2,-0.71407542663105,2.35975976778224e-4,0.00406695692635089
Ick,-0.696720362690574,2.36260271347284e-4,0.00406927624521409
Yipf1,-0.569946128876359,2.36745113863899e-4,0.00407357777643613
Adap1,1.19253269369877,2.36809775443139e-4,0.00407357777643613
Fopnl,-0.691442592473424,2.37035344195902e-4,0.00407402301732915
Phf12,-0.654091173601655,2.37175730465541e-4,0.00407402301732915
Stk16,-0.671655179203539,2.37285346643808e-4,0.00407402301732915
Ilf2,-0.657282726143112,2.38977230631848e-4,0.00410048115615087
Pik3cg,-0.899597388697951,2.39180155908006e-4,0.00410137379017268
Tomm7,-0.624312250516371,2.40047685900475e-4,0.00411365451140543
Tsg101,-0.487984406017864,2.40279698861205e-4,0.00411503587608614
Polr2c,-0.592644755005042,2.41076646646672e-4,0.00412144174346593
Stoml2,-0.683342143066841,2.41163280856093e-4,0.00412144174346593
Sytl1,1.36748772848261,2.4120325109853e-4,0.00412144174346593
Tnks,-0.695690032370007,2.4126030442085e-4,0.00412144174346593
Mrgpre,-1.34438532646328,2.42091075728579e-4,0.00413303602212754
Bora,-1.24337033562269,2.4241648301663e-4,0.00413599346635843
Fam122a,-0.635401464532878,2.4281508785814e-4,0.00413728499527491
Eef1a1,-0.657675202417423,2.42928263309051e-4,0.00413728499527491
Mrps16,-0.772608654177434,2.42948852145361e-4,0.00413728499527491
Chchd2,-0.573874657129627,2.46220885149134e-4,0.0041881901724898
Ndufa4,-0.737150482945808,2.46433548260986e-4,0.0041881901724898
4930529C04Rik,-1.05696356436634,2.4660767825452e-4,0.0041881901724898
Slamf7,1.46896085395659,2.46620716839403e-4,0.0041881901724898
Mapk14,-0.63590939675877,2.4681060592446e-4,0.0041881901724898
Mtmr6,-0.604674228708378,2.46862675460049e-4,0.0041881901724898
Bnip2,-0.530056364662509,2.4707189661619e-4,0.00418912481480438
Map2k4,-0.586589297261785,2.48419147407863e-4,0.00420934165049769
Mrps9,-0.681419473920047,2.49476871620531e-4,0.00422463046341085
Ostm1,-0.64844135334472,2.49832059261654e-4,0.00422801092071762
Gripap1,0.553600972086801,2.50057011852036e-4,0.004229184520925
0610009B22Rik,-0.666258350316739,2.50352722942525e-4,0.00423155264729782
Cdpf1,-0.899059213912655,0.00025065430795615797,0.0042340170515478
Ndufaf2,-0.821898915899472,2.51291603205708e-4,0.00424214564194282
Mtx2,-0.650391999912083,2.54835028183424e-4,0.00429929312911067
Taf5l,-0.578075377859649,2.55381123123003e-4,0.00430583346486358
Ccdc51,-0.936543379509041,2.56027404594031e-4,0.00431367976516794
E2f3,-0.983632542965962,2.56163918502559e-4,0.00431367976516794
Rpl22,-0.561375937958883,2.56385707690978e-4,0.00431474126893689
Gins1,-1.35874296201071,2.5662150888439e-4,0.00431603712250547
Cfap36,-0.630279381924822,2.58313140476847e-4,0.00434180138838604
Phactr4,-0.959881958132445,2.58857669979074e-4,0.00434605516327081
Txnl1,-0.583899460352699,2.58886026319417e-4,0.00434605516327081
Hmces,-0.64724104536875,2.5934342715611e-4,0.00434905496074173
Cdkn2aipnl,-0.655629005371816,2.59384748937133e-4,0.00434905496074173
Cog6,-0.559754066223237,2.59918693516639e-4,0.004355320697342
Rgs14,-1.05667862749939,2.60794312869743e-4,0.00436730044946812
D330045A20Rik,-2.55865745861627,2.62891891487108e-4,0.00439971595980796
Psmc3,-0.644686232216111,2.63064042938678e-4,0.00439988776801867
Nudt1,-1.1870364370283,2.63640619940957e-4,0.0044050740217065
Polr1e,0.90351742162778,2.63698275628849e-4,0.0044050740217065
Pcna,-1.18115198174472,2.65838215275033e-4,0.00443730013842337
Xrcc2,-1.2223062319241,2.6595393228197e-4,0.00443730013842337
Gm13215,-0.710273051738771,2.66917350200606e-4,0.00445064212337563
Tada1,-0.711446952760708,2.67451054374442e-4,0.00445306221747699
Mllt10,-0.59738104520357,2.67459669074946e-4,0.00445306221747699
Wapl,-0.748445417156944,2.67659573801451e-4,0.00445306221747699
Nexmif,2.29517332443134,2.67874330899575e-4,0.00445306221747699
Ptar1,-0.93821808416062,2.67881700046907e-4,0.00445306221747699
Sec22c,-0.728345582474812,2.68787537442859e-4,0.00446538904655224
Yars2,-0.815958112009033,2.70961375529057e-4,0.00449875334484071
Pomc,2.48628835286346,2.71566983071307e-4,0.004506055575638
Tmem43,0.700166571280974,2.71948316664695e-4,0.00450780722116446
Ocrl,-0.78905441240644,2.7214425153088e-4,0.00450780722116446
Csnk1g3,-0.674433985678712,2.72170118471279e-4,0.00450780722116446
Cbr1,-0.754588269712198,2.72610030666017e-4,0.0045123434978512
Ndst2,-0.624683983361761,2.72796657722559e-4,0.00451268433368315
Ccl25,-0.823568027924736,2.74784122865926e-4,0.00454279663952128
Katnbl1,-0.771390862973233,2.75300314740238e-4,0.00454727986692391
Dtd2,-0.760464046542649,2.75389920930011e-4,0.00454727986692391
Vamp8,-0.544230593408665,2.75717134301283e-4,0.00454991863580727
Gm6981,-1.71977505327041,2.76524507768457e-4,0.00456047305621292
Nsmce2,-0.541361624159923,2.76694293197176e-4,0.00456050587920318
Taf11,-0.590168971080282,2.77331867377682e-4,0.0045682441354291
Jade1,-0.916054789505086,2.78109739917023e-4,0.00457828262943959
Sept2,-0.530146359926228,2.81336019573647e-4,0.00462859060290082
